id,Name,City,Age,websites
0,Jean d'Aux,Lille,26,"['jeandaux.fr', 'lillefans.fr']"
1,Jacques Dupond,Villeneuve d'Ascq,37,"['somewebsite.com/users/jacquesdupond', 'jacquesdupond.fr', 'pythonensamusant.fr']"
2,Pierre Dusquesnes,Phalempin,24,['somewebsite.com/users/rpz59']
3,Paul Delarue,Roubaix,32,['roubaixlove.fr']
4,Jacques Dupont,Villeneuve d'Ascq,37,['jacquesdupond.fr']
5,pierre dusquesnes,Phalempin,24,[]
6,Jean-Michel Python,Douai,49,"['lensfans.fr', 'pythonensamusant.fr']"
7,Gédéon Glincarné,Paris,53,['lorem.fr']
8,Sophie Delarue,Roubaix,33,[]
9,Jeanne Verbrugge,Valenciennes,41,['somewebsite.com/users/jajanne59']
10,Caroline Dufour,Lens,45,"['pythonensamusant.fr', 'lensfans.fr']"
11,sophie_delarue,Roubaix,33,[]
12,Marcel Vandermersch,Fourmies,48,['lesrecettesdemarcel.fr']
13,Benoît Benoît,Lens,15,['lensfans.fr']
